"species","area_global","mhw_freq","mhw_total_days","mhw_max_int","mhw_mean_int","mhw_cum_int","slope_mean_int","slope_freq","slope_cum","slope_max","slope_total","dem_mean","dem_range","Order","X2024.IUCN.Red.List.category","Average.Mass","Clutch_Min","Clutch_Max","Sed","Primary.Habitat","Primary.Diet","HB","Flightlessness","Exposure","IUCN_num","Clutch_mean","Flightless_num","Trait_sensitivity","Sensitivity","Suitability","Risk_index","Risk_level"
"Accipiter cirrocephalus",0.0173782248942917,0.642116823235528,0.482333530462889,0.659674443936289,0.11179701688344,0.102269447633224,0.403192079615103,0.548339095696713,0.322292061202386,0.512973319316565,0.475926910102755,0.108077731252724,NA,"Accipitriformes","LC",0.00374553754316147,2,6,0,"Forest","Vertebrate",4,"No",0.426091472808489,0,0.157894736842105,0,0.0404100685963167,0.0202050342981583,0.0627279780735079,0.00806915556366373,"Medium"
"Accipiter erythrauchen",0.000138186293135664,0.841355018038852,0.760175839851249,0.590848860441875,0.0568167220240564,0.127062981423032,0.355586851644273,0.64142823212348,0.330675903291128,0.419189361371243,0.638143783339455,0.111196953613581,NA,"Accipitriformes","NT",0.00323478242363945,NA,NA,0,"Forest","Vertebrate",1,"No",0.476128355354865,0.25,NA,0,0.00107826080787982,0.12553913040394,0.0556675699533584,0.0564453365238046,"Very high"
"Accipiter fasciatus",0.0259489318152086,0.646175162066333,0.5978985248602,0.659385849118483,0.100811484845168,0.119635598001907,0.363436067789988,0.396008419217044,0.284334567148548,0.425504836909124,0.41506097411538,0.101939974914115,NA,"Accipitriformes","LC",0.00874668142181456,2,4,0,"Forest","Vertebrate",4,"No",0.400825148407218,0,0.105263157894737,0,0.0285024598291378,0.0142512299145689,0.063944453364662,0.0053469845557234,"Medium"
"Accipiter gentilis",0.113231210279198,0.787316540805278,0.814398975078947,0.549275137876183,0.627827704367655,0.647001035675825,0.682717807713502,0.175419508731194,0.646509293663237,0.679203291459839,0.300808572272323,0.183976372469588,NA,"Accipitriformes","LC",0.0244683624446017,1,5,0,"Forest","Vertebrate",3,"No",0.591047786764398,0,0.105263157894737,0,0.0324328800848346,0.0162164400424173,0.148603791374393,0.00816036957507084,"Medium"
"Accipiter griseiceps",0.000403593955740383,0.921618619689826,0.895731681931685,0.606450342058695,0.0884404051649469,0.193216978762366,0.448071556579867,0.721399519325456,0.42243347591353,0.541654558489748,0.720346256824113,0.16969339381129,NA,"Accipitriformes","LC",0.00535228802332448,NA,NA,0,"Forest","Vertebrate",3,"No",0.555936339474023,0,NA,0,0.00178409600777483,0.000892048003887414,0.085048493883515,0.00045374449107445,"Very low"
"Accipiter gularis",0.0372017002324403,0.777474807597588,0.747138948506182,0.640235772568817,0.382908766987647,0.388474584505705,0.581963895759386,0.255001086502286,0.475308130443442,0.600847424093682,0.334351852219547,0.154222384515922,NA,"Accipitriformes","LC",0.00273998840160249,2,5,0,"Forest","Vertebrate",4,"No",0.518370526918428,0,0.131578947368421,0,0.0335797339425059,0.0167898669712529,0.095712042374181,0.00787035466104805,"Medium"
"Accipiter henicogrammus",5.25893513912078e-05,0.957059025410433,0.906148745183164,0.595311536136867,0.0479204289206547,0.156150054679737,0.391046218595698,0.841555383801357,0.401295648984984,0.429135849837827,0.824715930257265,0.0963303452754044,NA,"Accipitriformes","NT",0.00725697898987534,NA,NA,0,"Forest","Vertebrate",1,"No",0.555033882180799,0.25,NA,0,0.00241899299662511,0.126209496498313,0.0481914673133978,0.0666747081726846,"Very high"
"Accipiter hiogaster",0.00228948070110537,0.672120865122231,0.526498080164485,0.65941261103005,0.104442264909499,0.106752059993721,0.380067846325971,0.556545599731398,0.324075154066247,0.442891910355578,0.497850335014548,0.0919703823144088,NA,"Accipitriformes","LC",0.00558106375394372,2,3,0,"Forest","Vertebrate",3,"No",0.427065672671373,0,0.0789473684210526,0,0.0211321080437491,0.0105660540218745,0.0471299315077571,0.00429972991402067,"Low"
"Accipiter melanochlamys",0.000332555143487733,0.591019224981367,0.397175184281502,0.414444759187874,0.106915180418221,0.0811926445482962,NA,0.579961832170765,0.305779321753157,NA,0.466424388680962,0.512758029718372,NA,"Accipitriformes","LC",0.00485642992812186,NA,NA,0,"Forest","Vertebrate",2,"No",0.367864067002768,0,NA,0,0.00161880997604062,0.00080940498802031,0.25654529243093,0.000221364390622174,"Very low"
"Accipiter melanoleucus",0.0266987485261388,0.740666495245388,0.672813757156573,0.795796738421482,0.101391129644637,0.127866935205734,NA,0.16681599154242,0.225846417952245,NA,0.294358018889869,0.0490607165362124,NA,"Accipitriformes","LC",0.0143508000943478,2,4,0,"Forest","Vertebrate",2,"No",0.390694435507293,0,0.105263157894737,0,0.0299034894972712,0.0149517447486356,0.0378797325311756,0.0056202866124425,"Medium"
"Accipiter meyerianus",0.000774949514148624,0.703977444386813,0.549927378607015,0.50963327424783,0.0861069516025206,0.100649818749664,0.363468138352773,0.621552565046551,0.322550737140631,0.443555368260975,0.550422804323837,0.309797741606421,NA,"Accipitriformes","LC",0.0172592667471815,3,3,0,"Forest","Vertebrate",1,"No",0.425184448071861,0,0.105263157894737,0,0.0306306061604796,0.0153153030802398,0.155286345560285,0.00550063060747123,"Medium"
"Accipiter nanus",0.000175829856957891,0.993882847362585,0.914578449242278,0.560487333311389,0.0930843354657922,0.208000492209507,NA,0.788796478862255,0.446303420910421,NA,0.741308909085848,0.265737296358754,NA,"Accipitriformes","LC",0.00469256266060854,NA,NA,0,"Forest","Invertebrate",1,"No",0.593305283306259,0,NA,0,0.00156418755353618,0.000782093776768091,0.132956563107856,0.000402325816217148,"Very low"
"Accipiter nisus",0.160797751172508,0.778411123889206,0.821338311576012,0.624021788004466,0.51744745397226,0.548592522893059,0.624652486512403,0.189351220993281,0.590843522108084,0.624406459810869,0.319681095583642,0.200942699014576,NA,"Accipitriformes","LC",0.00436269997925057,1,7,0,"Forest","Vertebrate",2,"No",0.563874598534328,0,0.157894736842105,0,0.040564359205339,0.0202821796026695,0.180870225093542,0.00936806440087978,"High"
"Accipiter poliocephalus",0.00193535557031238,0.644651559224229,0.487167182850739,0.670130030052863,0.111757408113988,0.103181524451523,0.403192079615103,0.546629042095346,0.32241714725393,0.512973319316565,0.476615577730398,0.0887522605023402,NA,"Accipitriformes","LC",0.00546401570571993,1,1,0,"Forest","Vertebrate",1,"No",0.427871487070468,0,0,0,0.00136600392642998,0.000683001963214991,0.0453438080363263,0.000278985924265878,"Very low"
"Accipiter rhodogaster",0.00041918526199191,0.918956735462611,0.887673275490797,0.602055120494891,0.0874657809109899,0.190835784314362,0.400884680088632,0.714516087506693,0.418506556397604,0.521739524079084,0.713767032795304,0.175504405983892,NA,"Accipitriformes","LC",0.00392642998132552,NA,NA,0,"Forest","Vertebrate",4,"No",0.545640057754097,0,NA,0,0.00130880999377517,0.000654404996887586,0.0879617956229422,0.000325661098851118,"Very low"
"Accipiter soloensis",0.0129720499117378,0.763444673648565,0.754818548901328,0.67275151292144,0.261599839939176,0.296395044203612,0.553279622124294,0.289109370010233,0.428020897771444,0.546654587166042,0.373638766008835,0.127668260322933,NA,"Accipitriformes","LC",0.00307517144878882,3,5,0,"Forest","Vertebrate",3,"No",0.493971286269497,0,0.157894736842105,0,0.0402424770727235,0.0201212385363618,0.0703201551173353,0.00924037997319617,"High"
"Accipiter trinotatus",0.000345129667606476,0.919157841937013,0.896151079702972,0.610523191806796,0.089289009191776,0.195292043988115,0.456735102521344,0.71405563162701,0.422273272364582,0.572285506085195,0.715427113185457,0.167360180133326,NA,"Accipitriformes","LC",0.00303260852216198,NA,NA,0,"Forest","Vertebrate",2,"No",0.559118979241026,0,NA,0,0.00101086950738733,0.000505434753693664,0.0838526549004661,0.000258901557273794,"Very low"
"Accipiter trivirgatus",0.0100855978393052,0.727873670104216,0.743114216327855,0.705989980164469,0.188582969910451,0.242219073183016,0.380616246980055,0.336249349771037,0.321510857777722,0.437492835268651,0.370879684397124,0.142204995465498,NA,"Accipitriformes","LC",0.00750880963908411,1,3,0,"Forest","Vertebrate",1,"No",0.44545288838846,0,0.0526315789473684,0,0.0150350971466131,0.00751754857330657,0.0761452966524015,0.0030937249255417,"Low"
"Accipiter virgatus",0.0137213233420294,0.774392916033749,0.767151464189098,0.652828017480565,0.234939654893577,0.278830557381372,0.495037487472191,0.27835011749463,0.378768212672594,0.50619895296929,0.353939479581966,0.262943848457336,NA,"Accipitriformes","LC",0.00280117260862857,2,5,0,"Forest","Vertebrate",3,"No",0.472043686016903,0,0.131578947368421,0,0.0335950299942624,0.0167975149971312,0.138332585899683,0.00683229956452651,"Medium"
"Aceros nipalensis",0.00152518267971342,0.802881905361946,0.780215511458965,0.636434487078741,0.242839596005108,0.291521594272141,0.481985795262973,0.336940135280404,0.423655217454094,0.498556268064373,0.403036018963188,0.284691722409349,NA,"Bucerotiformes","VU",0.0506711641492469,1,2,0,"Forest","Fruit",1,"No",0.489806652920193,0.5,0.0263157894736842,0,0.0192467384057328,0.259623369202866,0.143108452544531,0.108966830844859,"Very high"
"Acridotheres cristatellus",0.0103233083215259,0.810102390430162,0.783275481378541,0.680359314651249,0.276953060664169,0.317110338257707,0.569629747936526,0.268374096139821,0.466673248303815,0.556565150260077,0.371116025806267,0.200140348308958,NA,"Passeriformes","LC",0.00241899299662512,4,7,0,"Grassland","Omnivore",2,"No",0.510015885382833,0,0.236842105263158,0,0.0598152745649458,0.0299076372824729,0.105231828315242,0.0136482300838605,"High"
"Acridotheres fuscus",0.00746803663799739,0.655011218139768,0.846231006476211,0.811960706402772,0.266455256741262,0.343417244821514,0.267154011803575,0.182265643763556,0.210530552626964,0.333895081592944,0.243788465609038,0.115738062895113,NA,"Passeriformes","LC",0.00167059487010327,3,6,0,"Woodland","Omnivore",4,"No",0.41607091879776,0,0.184210526315789,0,0.0464702802964732,0.0232351401482366,0.0616030497665551,0.00907192071398863,"High"
"Acridotheres ginginianus",0.00522132923766916,0.641128054139529,0.868211505585573,0.90448228073634,0.310655661890187,0.390617465872022,0.244907345539404,0.113303921395028,0.134580172958177,0.317036565842359,0.15954031084635,0.0898437913469882,NA,"Passeriformes","LC",0.00138329511537213,3,8,0,"Grassland","Omnivore",2,"No",0.408446328480497,0,0.236842105263158,0,0.0595563500946325,0.0297781750473163,0.0475325602923287,0.0115846578953705,"High"
"Acridotheres grandis",0.00514822978171253,0.753312562306788,0.83495903931647,0.752810663259369,0.219519824237485,0.294154115047707,0.373474128392474,0.259153109093459,0.321146633849119,0.44076970482726,0.324097724246244,0.11354322573263,NA,"Passeriformes","LC",0.0019834323808105,4,6,0,"Grassland","Invertebrate",3,"No",0.457339750457638,0,0.210526315789474,0,0.053127437042571,0.0265637185212855,0.0593457277571712,0.0114276742565853,"High"
"Acridotheres javanicus",0.0041987070661607,0.710789199241686,0.659927022644281,0.662012712067442,0.105530572271404,0.15078387666833,0.37640184743752,0.469834876018474,0.312459262160022,0.434747407840549,0.468530568985095,0.106967352354507,NA,"Passeriformes","VU",0.00194725389317769,2,5,0,"Artificial","Omnivore",2,"No",0.43510173453348,0.5,0.131578947368421,0,0.0333815503153997,0.2666907751577,0.0555830297103338,0.109587896438849,"Very high"
"Acridotheres tristis",0.0326666985014855,0.733618046742611,0.840207329567104,0.778995811294316,0.297605552530519,0.360933115352317,0.374685632777606,0.179666175341894,0.323036936285783,0.420663666081002,0.271690973061212,0.193866053383038,NA,"Passeriformes","LC",0.00239239116748335,2,6,0,"Artificial","Omnivore",6,"No",0.458110323903436,0,0.157894736842105,0,0.0400717820023972,0.0200358910011986,0.113266375942262,0.00813901626276923,"Medium"
"Acritillas indica",0.000641673430436419,0.672015767766537,0.778804284502501,0.74186912472553,0.156774724866293,0.213408285614952,0.372078327090099,0.100784341036824,0.187604142006236,0.398871634594928,0.191152521967757,0.118115126565392,NA,"Passeriformes","LC",0.000574599509462271,2,3,0,"Forest","Fruit",3,"No",0.381336315417166,0,0.0789473684210526,0,0.0198804919826287,0.00994024599131436,0.0593783999979142,0.00356549839636275,"Low"
"Acrocephalus agricola",0.0313035347618422,0.815078078058627,0.818720424922004,0.731291285401724,0.470703276872841,0.491001677033463,0.49154828138756,0.172908450236694,0.509376630814702,0.516863930401337,0.296823875074043,0.186402366106688,NA,"Passeriformes","LC",0.000138329511537213,3,6,0,"Wetland","Invertebrate",4,"No",0.5314315910203,0,0.184210526315789,0,0.0460872139568317,0.0230436069784158,0.108852950434265,0.0109130765247657,"High"
"Acrocephalus arundinaceus",0.0410867799841128,0.827119158487384,0.81748019759725,0.678095701529326,0.515076747299779,0.530279405357485,0.557232603553369,0.179218282041652,0.568165980664288,0.561212759747624,0.31643493743789,0.177243435113322,NA,"Passeriformes","LC",0.000633123533574169,3,6,0,"Wetland","Invertebrate",4,"No",0.555031577371605,0,0.184210526315789,0,0.0462109124623409,0.0231054562311705,0.109165107548717,0.0114242963339561,"High"
"Acrocephalus australis",0.0199631369909059,0.648380502449257,0.512019566856207,0.639333631322899,0.111435351454822,0.108633645468988,0.362197915464909,0.52170618593964,0.32218510723872,0.430243651258558,0.468381924178654,0.143262416147625,NA,"Passeriformes","LC",0.000299217374186649,2,4,0,"Wetland","Invertebrate",5,"No",0.412451748163265,0,0.105263157894737,0,0.0263905938172309,0.0131952969086154,0.0816127765692654,0.00499825200255046,"Low"
"Acrocephalus bistrigiceps",0.0228598690493187,0.769789219811986,0.767447094425083,0.666374639140882,0.388617969737148,0.399063382001063,0.548186261357642,0.22629146802178,0.461496806092059,0.571911248596351,0.311488039465392,0.134538201215833,NA,"Passeriformes","LC",0.000120240267720808,3,6,0,"Wetland","Invertebrate",3,"No",0.511066612864939,0,0.184210526315789,0,0.0460826916458776,0.0230413458229388,0.0786990351325756,0.0108489292836212,"High"
"Acrocephalus concinens",0.0138970746668067,0.806035668315484,0.804616238567094,0.698057492357794,0.302199999213918,0.347699862092788,0.542371734233495,0.243950172602454,0.456759034992139,0.558367276989178,0.344319169127621,0.200690248355751,NA,"Passeriformes","LC",9.93134954626147e-05,3,4,0,"Riparian","Invertebrate",4,"No",0.510437664849197,0,0.131578947368421,0,0.0329195652159709,0.0164597826079855,0.107293661511279,0.00750024459365935,"Medium"
"Acrocephalus dumetorum",0.0324309340992177,0.78308791612877,0.801601258440631,0.63163522558408,0.506455178920256,0.511213856413294,0.527699231574004,0.158248942718271,0.440561914279686,0.536797221194368,0.257465158226097,0.181486662881502,NA,"Passeriformes","LC",0.000196498844593887,3,6,0,"Riparian","Invertebrate",5,"No",0.515476590347946,0,0.184210526315789,0,0.0461017562900958,0.0230508781450479,0.10695879849036,0.010611283511253,"High"
"Acrocephalus griseldis",0.00149002166763368,0.741718711483183,0.929194154611431,0.99144604354905,0.257476815682578,0.349891959159061,0.463339890618662,0.307304750533315,0.637235864006568,0.552006650551532,0.535929211003982,0.0675015414147492,NA,"Passeriformes","EN",0.00035930203894153,NA,4.2,0,"Wetland","Invertebrate",5,"No",0.576554405119936,0.75,0.168421052631579,0,0.0421950886676301,0.396097544333815,0.0344957815411914,0.220493920870336,"Very high"
"Acrocephalus melanopogon",0.0226789536672223,0.768813132724473,0.879339754455981,0.793404244908819,0.370774569626628,0.443675644101191,0.540944298916572,0.17598043030052,0.6054618635573,0.564865571852852,0.364081995677855,0.231055983819567,NA,"Passeriformes","LC",0.000157482828519289,2,7,0,"Wetland","Invertebrate",3,"No",0.550734150612219,0,0.184210526315789,0,0.0460920022860772,0.0230460011430386,0.126867468743395,0.0110819900575734,"High"
"Acrocephalus orientalis",0.0308927013719186,0.763443165619412,0.739570698307245,0.663855102291732,0.367085808659713,0.373958861254134,0.595418977766614,0.28107595620312,0.482135855816867,0.611436574885588,0.352028432168447,0.150016838312769,NA,"Passeriformes","LC",0.000606521704432397,3,6,0,"Wetland","Invertebrate",4,"No",0.523000943297287,0,0.184210526315789,0,0.0462042620050555,0.0231021310025277,0.0904547698423438,0.0109895223112603,"High"
"Acrocephalus orinus",0.000386284936247876,0.73619283856432,0.883448456280745,0.604385789030936,0.316015598862247,0.415687325604163,0.405261310587359,0.186322033012132,0.419548494565327,0.489580301443606,0.318049192603456,0.466537723730114,NA,"Passeriformes","LC",0.000131945072543188,2,5,0,"Forest","Invertebrate",1,"No",0.477449134055429,0,0.131578947368421,0,0.0329277231102411,0.0164638615551205,0.233462004333181,0.00602549183421331,"Medium"
"Acrocephalus paludicola",0.00694553793528877,0.798119085561507,0.776520466301153,0.601608097247829,0.580619247228426,0.559954970828975,0.574396843470448,0.155210210757575,0.43329752898311,0.579825667549759,0.235999401207403,0.105543323433885,NA,"Passeriformes","VU",0.000197917608814782,3,6,0,"Wetland","Invertebrate",3,"No",0.529555151913619,0.5,0.184210526315789,0,0.0461021109811511,0.273051055490576,0.0562444306845868,0.136462896353112,"Very high"
"Acrocephalus palustris",0.0612224086725905,0.754024110800243,0.915724807940001,0.83490907469757,0.307194150567276,0.407205570876853,0.704966215715137,0.288155006165581,0.785365217696699,0.73833112549703,0.551692651442547,0.193765091399543,NA,"Passeriformes","LC",0.000200045755146124,3,6,0,"Shrub","Invertebrate",5,"No",0.628756793139894,0,0.184210526315789,0,0.0461026430177339,0.0230513215088669,0.127493750036067,0.0126458220133299,"High"
"Acrocephalus schoenobaenus",0.0615423949078483,0.785292955351038,0.827716125265115,0.646434355106865,0.634659062809816,0.657693812268528,0.578775272871832,0.148875761750098,0.550753345490662,0.585136148029512,0.271182942653945,0.0915156057075533,NA,"Passeriformes","LC",0.000191533169820757,4,8,0,"Wetland","Invertebrate",5,"No",0.568651978159741,0,0.263157894736842,0,0.0658373569766657,0.0329186784883329,0.0765290003077008,0.0172867044956367,"High"
"Acrocephalus scirpaceus",0.11629932777248,0.775350476836812,0.895713664447267,0.809077361615357,0.338778175188389,0.422199148857145,0.608677727647023,0.236535642931682,0.711899444438495,0.62512727104622,0.475872130583557,0.221309653238806,NA,"Passeriformes","LC",0.000189050332434191,3,5,0,"Wetland","Invertebrate",5,"No",0.589923104359195,0,0.157894736842105,0,0.0395209467936349,0.0197604733968174,0.168804490505643,0.00968937888741192,"High"
"Acrocephalus sorghophilus",0.000805906131379344,0.789886587631304,0.699523878796593,0.661395998960437,0.410317752929766,0.378439952091392,0.557580512702615,0.268256170685092,0.52660280651838,0.597268867282374,0.333735344609768,0.106397974364857,NA,"Passeriformes","CR",8.83180727506823e-05,NA,NA,0,"Wetland","Invertebrate",3,"No",0.522300787220772,1,NA,0,2.94393575835608e-05,0.500014719678792,0.053601940248118,0.247159501819063,"Very high"
"Acrocephalus stentoreus",0.0292451307437823,0.729117058459295,0.83374390996024,0.797538717057002,0.286827522996522,0.350340057969918,0.442088903457958,0.191405629962096,0.38199709273987,0.475427529352075,0.307456490653766,0.19796322723994,NA,"Passeriformes","LC",0.000511819192687689,3,6,0,"Wetland","Invertebrate",6,"No",0.479594291260874,0,0.184210526315789,0,0.0461805863771193,0.0230902931885596,0.113604178991861,0.00981592320901745,"High"
"Acrocephalus tangorum",0.00392983398888875,0.781881123183136,0.742313271822845,0.642186563810277,0.441190784350893,0.425758223260506,0.560466416813793,0.201134490862455,0.436941876300033,0.574887156004405,0.274601069224818,0.118306528095535,NA,"Passeriformes","VU",8.51258532536697e-05,NA,4.9,0,"Wetland","Invertebrate",1,"No",0.508136097563316,0.5,0.205263157894737,0,0.0513370709369976,0.275668535468499,0.0611181810422118,0.13151587420842,"Very high"
"Actenoides concretus",0.00392000166976707,0.680795721827665,0.605513757029491,0.685088130485663,0.11005775891387,0.142932589493226,0.356530111334506,0.485766428783103,0.318189502258392,0.445695269584502,0.464620409370252,0.0865934178039561,NA,"Coraciiformes","NT",0.00151524018791532,2,2,0,"Forest","Invertebrate",1,"No",0.429518967908067,0.25,0.0526315789473684,0,0.0135367047838209,0.13176835239191,0.0452567097368616,0.0540356124171126,"Very high"
"Actenoides hombroni",7.15617603057723e-05,0.730465499760661,0.696037921900579,0.637716980567946,0.0796796680326084,0.141064531851603,0.380929890657805,0.481628849889833,0.284769601459156,0.456274648116249,0.49852299807409,0.134189784040049,NA,"Coraciiformes","LC",0.00249525157349819,NA,NA,0,"Forest","Invertebrate",1,"No",0.438709059031053,0,NA,0,0.000831750524499398,0.000415875262249699,0.0671306729001772,0.000170200371521172,"Very low"
"Actenoides lindsayi",0.000315995221852538,0.683819953500521,0.718579426314611,0.654182959317872,0.0927281375331795,0.146229686859625,0.397036854853122,0.28472372789485,0.257633771202783,0.447651368724642,0.374162064199816,0.11380838019135,NA,"Coraciiformes","LC",0.00193661316152099,NA,NA,0,"Forest","Invertebrate",3,"No",0.405674795040102,0,NA,0,0.000645537720506995,0.000322768860253498,0.0570621877066013,0.000123467514520624,"Very low"
"Actenoides monachus",0.000207227511526161,0.96006218201395,0.926093531000992,0.610129187186058,0.0729269561635256,0.184993339306476,0.456735102521344,0.831377000618565,0.435110579958631,0.572285506085195,0.799350494931314,0.133410386258603,NA,"Coraciiformes","NT",0.00310709364375895,NA,NA,0,"Forest","Invertebrate",1,"No",0.584906387978605,0.25,NA,0,0.00103569788125298,0.125517848940626,0.0668088068850646,0.0685113434804771,"Very high"
"Actenoides princeps",0.000139510404269911,1,0.918380688973566,0.551540550222559,0.0932433273142898,0.209538601960885,NA,0.784419132801104,0.440481226086092,NA,0.733221892249089,0.279757438563291,NA,"Coraciiformes","LC",0.00214942779465516,4,4,0,"Forest","Invertebrate",1,"No",0.591353177450948,0,0.157894736842105,0,0.0400110411591901,0.0200055205795951,0.13994847448378,0.0101746917824869,"High"
"Actinodura egertoni",0.000836286779194269,0.810585136919661,0.745853163942482,0.585436479843215,0.237314244964384,0.269341666181911,0.546226135002015,0.370094945433694,0.454200189504507,0.545170156697393,0.432691867125435,0.336847183261167,NA,"Passeriformes","LC",0.000691647557686066,2,4,0,"Shrub","Invertebrate",2,"No",0.49969139856147,0,0.105263157894737,0,0.0264887013631057,0.0132443506815529,0.168841735020181,0.00550067863523316,"Medium"
"Actinodura radcliffei",0.00148620478481208,0.845232785546662,0.740060363706448,0.688654954608014,0.242806266790641,0.266492709081334,0.473717456779207,0.307981978554397,0.389948351978934,0.503743182178581,0.344261976019028,0.211101372738329,NA,"Passeriformes","LC",0.000723569752656193,NA,NA,0,"Forest","Invertebrate",4,"No",0.480290002524325,0,NA,0,0.000241189917552064,0.000120594958776032,0.106293788761571,5.17639580235839e-05,"Very low"
"Actinodura ramsayi",0.00017623851027357,0.607982334281531,0.924204389209085,0.749926987486864,0.234085273734478,0.352098059481123,0.404036063820571,0.0880055062853674,0.215001373807449,0.414351351869272,0.178071810951891,0.212920081597927,NA,"Passeriformes","LC",0.000727826045318876,2,2,0,"Forest","Invertebrate",3,"No",0.416776315092763,0,0.0526315789473684,0,0.0133398512481718,0.00666992562408591,0.1065481600541,0.00248367730699508,"Low"
