species,iucn_category,area_global,pa_count,pa_quality_mean,mhw_freq,mhw_total_days,mhw_max_int,mhw_mean_int,mhw_cum_int,slope_intensity,slope_freq,slope_cum,slope_max,slope_total,dem_mean,dem_range,order,svl,hll,fll,hl,hw,tl,Exposure,iucn_num,Trait_sensitivity,Sensitivity,Suitability,Risk_index,Risk_level
Amolops chunganensis,LC,0.0161021406853768,0.375,0.979214810527361,0.629758416636662,0.614335345654775,0.602358914762664,0.443434598539006,0.448475813849975,0.700777656956745,0.374277341511631,0.461790075806421,0.575037193654585,0.499437993830434,0.263520906641393,0.65489989184038,Anura,0.0740372944940969,0.411120970127181,NA,0.112521181842177,0.118885786355066,0.0869565217391304,0.53496833512029,0,0.16070435091153,0.0803521754557652,0.457747549938902,0.0233091930689488,Low
Amolops cremnobatus,LC,0.00992265956375242,0.625,0.721611805660266,0.835039133041663,0.64730717691852,0.715991951019445,0.337521937701758,0.384406949228876,0.563974294194557,0.558838090847643,0.464205961746948,0.55605799560162,0.592648233438191,0.163322396022099,0.19362449051028,Anura,0.0609069844422377,NA,NA,0.0814904539345611,0.0808246972127365,0.0607476635514019,0.565599172373922,0,0.0709924497852343,0.0354962248926171,0.342696270351279,0.0131964473414566,Very low
Amolops formosus,LC,0.0163615346805951,0.5,0.745660585150966,0.566398903871831,0.614240539441735,0.446402148212344,0.357991670475134,0.402198372456478,0.40030508274201,0.42864573707911,0.300818954937385,0.350759391110192,0.479593371279538,0.50089351339609,0.911321019344502,Anura,0.141454264592298,NA,0.142745945530617,0.110747997390314,0.170268256697211,0.134295002031694,0.434735417160576,0,0.139902293248427,0.0699511466242135,0.534847330514431,0.0141454047383057,Very low
Amolops gerutu,VU,0.000213958529220845,0.375,0.502645502645503,0.534810132059171,0.479728439400045,0.670430385191898,0.136468698904999,0.191909286993644,NA,0.771654050703785,0.380464176646218,NA,0.727027813079213,0.0744181743565693,0.0854040815423654,Anura,0.0879841112214498,NA,0.123186254279939,0.128213864241172,0.125546476954974,0.0920560747663551,0.486561622872372,0.5,0.111397356292778,0.305698678146389,0.207536343414732,0.117872030857207,High
Amolops lifanensis,LC,0.00128494970368764,0.125,1,0.591515561962613,0.569986512169882,0.299676964610547,0.421564294218369,0.409787630990141,0.800900224456594,0.42428680294996,0.513725564171147,0.67039100539663,0.531402886956299,0.607870498225674,0.584280379583083,Anura,0.128103277060576,0.597160603371784,NA,0.168819788188852,0.177404710911398,0.130028443722064,0.523323744788218,0,0.240303364650935,0.120151682325467,0.463687165502489,0.0337224008676883,Medium
Amolops loloensis,VU,0.0050318131147779,0.375,0.934629723775631,0.702464553913616,0.561796234920226,0.497492499094978,0.426071794334502,0.399160971233801,0.673419793250917,0.478841852862182,0.489674397096051,0.63654417810774,0.551883755109355,0.451120965360619,0.469936075842881,Anura,0.13604766633565,0.606329488317066,NA,0.169263084301818,0.185492692354143,0.132669646485169,0.541735002992337,0.5,0.245960515558769,0.372980257779385,0.447143715618782,0.11170818429917,High
Amolops mahabharatensis,VU,3.43249828602752e-06,0.25,0.928571428571429,0.471898735864215,0.61158922625926,0.650741254265419,0.369697766984754,0.411212495012249,NA,0.318363562061399,0.16457116208342,NA,0.366781881251106,0.244402789118046,0.246943446097955,Anura,0.105594174114532,NA,0.107673395701815,0.122273696327428,0.141246676226185,0.113165379926859,0.420607010472728,0.5,0.117990664459364,0.308995332229682,0.333984219257143,0.0865591425112367,High
Amolops medogensis,EN,4.27366205686211e-05,0,1,0.758770356132551,0.580772069299024,0.453762117506548,0.326110169602005,0.333073921303464,0.510123518387703,0.403032015144118,0.33122556766777,0.363836350641348,0.486598664747246,0.425548976223849,0.117009379623164,Anura,0.162197947699437,NA,NA,0.231324540117051,0.244487380524754,0.182649329540837,0.454730475043178,0.75,0.20516479947052,0.47758239973526,0.308520218493516,0.150169543368985,Very high
Amolops nepalicus,DD,1.24679420462477e-07,0,NA,0.562025338246108,0.61388408679706,0.497745641430757,0.310220271061251,0.339561869063843,0.166333343984692,0.535208464889964,0.26925309130594,0.180825409962997,0.522488578008692,0.356078671449173,0,Anura,0.101401301997131,NA,0.122511782167846,0.128923138021917,0.13839209454051,0.107273466070703,0.39975460947513,NA,0.119700356559622,0.119700356559622,0.0890196990321483,0.0435911082098261,Medium
Amolops nyingchiensis,NT,0.000215802530501844,0.125,1,0.706879480183259,0.598318742074097,0.306435784285328,0.347289228437325,0.353837431034411,0.470322924892696,0.380191343405639,0.346590149598376,0.365343875075811,0.478013632357848,0.623055968257687,0.364111967081044,Anura,0.124351759902902,NA,0.155560915660372,0.169263084301818,0.175501656454282,0.147501015847217,0.435322259134479,0.25,0.154435686433318,0.202217843216659,0.422476747573847,0.0508393305294414,Medium
Amolops ottorum,EN,7.36626760617546e-05,0.25,0.736842105263159,0.739240500471476,0.449416710138577,0.465919182580356,0.247846939405553,0.217995292316605,0.709927887502537,0.536725133150352,0.426923562840553,0.615224976530943,0.558273056249378,0.376976729126678,0.0721399456142276,Anura,0.0954430100408253,0.430937592428276,NA,0.118284031310735,0.120313077197904,0.0948801300284437,0.496749324118633,0.75,0.171971568201237,0.460985784100618,0.287206488536025,0.163225705859441,Very high
Amolops shuichengicus,DD,8.8847731003969e-07,0,NA,0.797468368840168,0.492254739976445,0.482417772904372,0.374045129899942,0.307818090438794,0.565339191666575,0.458571291194592,0.402417331603857,0.590199398523441,0.494577862296529,0.435586378688213,0.0120158581493581,Anura,0.08691934238111,NA,0.100507129510833,0.112133297743332,0.112165625303374,0.0760869565217391,0.496510917734471,NA,0.0975624702920776,0.0975624702920776,0.11190078132872,0.0430202647500646,Medium
Amolops sinensis,LC,0.042546177623338,0.375,0.930644955237374,0.693797175455645,0.616274075746111,0.711473195956798,0.384763114118129,0.393247568758152,0.598926309896401,0.349930708804782,0.39260656820125,0.490099950573415,0.466428482852211,0.142108984533361,0.378262328314187,Anura,0.0931258965022619,NA,0.112394700486461,0.124933473005224,0.140770912611906,0.0879723689557091,0.509754715036289,0,0.111839470312312,0.0559197351561562,0.373712489141652,0.0178525438580645,Low
Amolops spinapectoralis,LC,0.00215109095744729,0.5,0.689590419501134,0.842513406631242,0.708856874513399,0.62947369158157,0.239843976829937,0.325036856626943,0.604158106609328,0.646310829065887,0.486360925673867,0.5734498248011,0.70346110086259,0.202475604645898,0.194259351525637,Anura,0.107028577733642,NA,0.354799977572453,0.147098278653521,0.170268256697211,0.0948801300284437,0.575946559319586,0,0.174815044137054,0.0874075220685272,0.317695293326023,0.0343486255692704,Medium
Amolops torrentis,VU,0.0012841341072713,0.25,0.929919137466307,0.756850338135659,0.66760037041987,0.692029928051041,0.19844152664618,0.250943502764045,0.60816912215555,0.529382300819666,0.438511558286712,0.568631583594628,0.65857634750069,0.0861045958342592,0.110459421607119,Anura,0.0638861304203906,0.289855072463768,NA,0.0819337500475271,0.0879611514269233,0.0625761885412434,0.536913657837404,0.5,0.11724245857997,0.308621229289985,0.275553457802991,0.120042931408288,High
Amolops viridimaculatus,LC,0.00290874436559426,0.375,0.895626878966707,0.746431627380273,0.560693255557644,0.500504878389003,0.373435768716813,0.356185456793049,0.670291533396127,0.467221191097189,0.464031522685257,0.527225091051456,0.543093365346929,0.396937377556682,0.487070996508459,Anura,0.174004192872117,0.820171546879621,NA,0.231767836230017,0.244963144139034,0.174319382364892,0.520911369041374,0,0.329045220497136,0.164522610248568,0.431508799479489,0.0487206612638707,Medium
Amolops yatseni,LC,0.00120610877744269,0.25,0.965714285714286,0.74293328756793,0.563661017249025,0.712053753294469,0.21781485349225,0.202925111886116,0.522694801224581,0.438249981786389,0.33749648994258,0.38880308191531,0.499427693056523,0.0385373300230006,0.0978359136183025,Anura,0.0879399757254772,NA,0.101603146692983,0.12537676911819,0.143625494297581,0.0828931328728159,0.462606007141517,0,0.108287703741409,0.0541438518707047,0.270658727626606,0.0182680085919117,Low
Andrias davidianus,CR,0.0268976200788439,0.375,0.981382102543651,0.676492154662185,0.621358679236227,0.700595875700555,0.484678265744943,0.485834926013684,0.672971758332397,0.375874563642476,0.466008373564549,0.554792764058573,0.492290692887362,0.168570360523926,0.720914755693187,Caudata,1,NA,1,1,1,1,0.553089805384295,1,1,1,0.454552967767922,0.301681192904681,Very high
Ansonia echinata,VU,4.08173956722963e-06,0,NA,0.422784791499294,0.252055853673966,0.714310549930887,0.16506733042182,0.118936011054403,NA,0.630297087859088,0.373962629202058,NA,0.601653521692966,0.0422719755662409,0.00915612125893562,Anura,0.0339843318989297,NA,NA,NA,0.0408605536132903,0.0237708248679399,0.40988347191681,0.5,0.0328719034600533,0.266435951730027,0.0128580446411859,0.107803495547598,High
Ansonia glandulosa,LC,8.61463956618159e-05,0.25,0.802312569936592,0.430379732576279,0.240909232877907,0.554301784548068,0.155447833864291,0.116819423062561,NA,0.541079676512882,0.291995497953459,NA,0.516822350479268,0.174387919660856,0.0988006577262384,Anura,0.0773915921880172,NA,0.133438230383742,0.0829090014960522,0.0869144714755093,0.0650548557496952,0.355969441484339,0,0.0891416302586033,0.0445708151293016,0.265117458743869,0.011659534820942,Very low
Ansonia latidisca,EN,1.75580593631251e-06,0,NA,0.551898739566242,0.41881812219128,0.716259646634287,0.145393082345782,0.14362955970552,NA,0.684611018964217,0.399753828511643,NA,0.685168172683939,0.0452332899625358,0.0429238243573298,Anura,0.113207547169811,0.443557132978409,NA,NA,0.12744953141209,0.0919003115400244,0.468191521325364,0.75,0.194028630775084,0.472014315387542,0.0220397175314505,0.216122474899237,Very high
Ansonia lumut,LC,7.10386184175252e-06,0.125,0.857142857142857,0.447016276973126,0.446575422913603,0.636168492604108,0.111988810323042,0.1453428325086,NA,0.661987493814553,0.355629936875627,NA,0.684941244735408,0.0752146440032487,0.0553953497023468,Anura,0.0470043032108573,NA,NA,0.0509030221399109,0.0479970078274771,0.0353514831369362,0.436206313843508,0,0.0453139540787954,0.0226569770393977,0.222551990942059,0.00768360919738326,Very low
Ansonia minuta,LC,0.00217064300535642,0.375,0.234478129544691,0.384109395532306,0.21810371791451,0.688175622630886,0.152655105888452,0.102019774506646,NA,0.638816900948084,0.353278242951599,NA,0.598347659763566,0.082952081146598,0.140861953411492,Anura,0.0454283239545404,NA,NA,0.0471944511884491,0.0528355713610572,0.0427668630637952,0.391938302517006,0,0.0470563023919605,0.0235281511959802,0.167092561421628,0.00768072561015812,Very low
Ansonia penangensis,LC,3.22566405325106e-06,0.125,0.285714285714286,0,0.0305986103194621,0.575643970608086,0.0587084135810901,0.0197705654130852,NA,0.381031729662873,0.225652068092702,NA,0.424460700771431,0.0466888778747356,0,Anura,0.0231711353856339,NA,NA,0.0229753670230563,0.0256361179563583,0.014018691588785,0.214483257306091,0,0.0214503279884584,0.0107251639942292,0.0914812778506149,0.00208992749452053,Very low
Ansonia platysoma,NT,0.000284567362848644,0.375,0.646710472945567,0.654852324986327,0.448371263380164,0.594006379388995,0.127117634792511,0.15183449579751,NA,0.6928329384172,0.336847718337841,NA,0.627561095569218,0.181373111600477,0.266571676735877,Anura,0.0452083195409908,NA,NA,0.0466264891261143,0.0445472339662488,0.0350364638358391,0.454177981333721,0.25,0.0428546266172983,0.146427313308649,0.293987965728954,0.0469526677967762,Medium
Ansonia smeagol,VU,8.96511532257045e-07,0,NA,0.577215180735503,0.527060614750157,0.6166154754556,0.206478738935787,0.25406241697847,NA,0.542908635300251,0.30451199122346,NA,0.505742147383596,0.161325248050878,0.012253671661195,Anura,0.039270936775902,NA,NA,0.0386569670192266,0.0416336694864938,0.00815217391304348,0.441824400095353,0.5,0.0319284367986665,0.265964218399333,0.0433949540559013,0.112410162701524,High
Ansonia thinthinae,EN,2.26113090489032e-05,0.125,0,0.514767927100426,0.815324775868666,0.804528651330007,0.241832078258761,0.423732287523465,NA,0.458465581062268,0.563755898266569,NA,0.674641844748375,0.0985928632804039,0.0367883922996072,Anura,0.0525212402074368,NA,0.185237688592435,0.0509030221399109,0.0551334620416639,0.0377895164567249,0.562131130519817,0.75,0.0763169858876344,0.413158492943817,0.052080773377812,0.220153530128333,Very high
Asterophrys marani,DD,4.12687022259518e-05,0.125,0,0.511392381867046,0.262765330371705,0.626517290230199,0.158309671980572,0.100321483989027,NA,0.800229645556407,0.408846382457007,NA,0.676251249947044,0.11006090152829,0.0246544425537993,Anura,0.0807238221339512,NA,NA,0.106846991596213,0.137059956420529,0.0586347013409183,0.443079179549876,NA,0.0958163678729029,0.0958163678729029,0.0519513225568631,0.0402486838697568,Medium
Asterophrys pullifer,DD,7.46576509057669e-07,0,0,0.539240491216409,0.272327417070442,0.661300385330044,0.146726979395865,0.100150430338415,NA,0.84024708600818,0.417159183985794,NA,0.704975390223697,0.0625073779150769,0.0139869924818305,Anura,0.0542866600463423,NA,NA,0.0699647549974465,0.0903399694983189,0.0396180414465664,0.460265920446106,NA,0.0635523564971685,0.0635523564971685,0.0152990233946833,0.0288034723733015,Low
Astrobatrachus kurichiyana,DD,2.42093736067724e-07,0,NA,0.369620231725603,0.550009555710632,0.655827073022649,0.235270554445829,0.240697239056409,NA,0.260371685622145,0.157794289875167,NA,0.267799576475427,0.182880713685453,0.0237342942507256,Anura,0.0460664239214388,NA,0.0692284853125503,0.0564442235519852,0.0639350889058277,0.028850060950833,0.342173775741733,NA,0.052904856528527,0.052904856528527,0.0516538125074788,0.0171675833913158,Low
Austrochaperina adamantina,NT,0.000134285535817149,0,NA,0.255696190933523,0.0699942799969187,0.600339076834611,0.130721289437467,0.0655224490352343,NA,0.61373327213023,0.298411680903516,NA,0.536911346556392,NA,NA,Anura,0.0518592077678473,NA,NA,NA,0.0703578976985958,0.0327102803738318,0.321416198228486,0.25,0.0516424619467583,0.150821230973379,6.71427679085744e-05,0.0484731318328246,Medium
Austrochaperina aquilonia,NT,0.000128319262147163,0,NA,0.255696190933523,0.0699942799969187,0.600339076834611,0.130721289437467,0.0655224490352343,NA,0.61373327213023,0.298411680903516,NA,0.536911346556392,NA,NA,Anura,0.0582588546838795,NA,NA,NA,0.086533860584086,0.034741974806989,0.321416198228486,0.25,0.0598448966916515,0.154922448345826,6.41596310735816e-05,0.0497913895654019,Medium
Austrochaperina blumi,LC,0.000161915791767812,0.125,1,0.412807143875531,0.146985708993803,0.228576735240258,0.131768670346874,0.0731178668696428,NA,0.722774479112487,0.310570602237758,NA,0.590513456432045,0.568674791309589,0.363613033907104,Anura,0.0478870131303101,NA,NA,NA,0.0656002615558046,0.0290532303941487,0.32713933288855,0,0.0475135016934211,0.0237567508467106,0.411489948201692,0.00457376336672476,Very low
Austrochaperina kosarek,DD,4.72755269373846e-06,0.125,1,0.397468354957566,0.137693637373282,0.444407809751022,0.142127143095987,0.0709634852430415,NA,0.700941846072164,0.308600548906343,NA,0.582568342725727,0.336848050508785,0.154691478490577,Anura,0.0361911066975615,NA,NA,NA,0.0541819348131057,0.0180820804550996,0.348096396015642,NA,0.0361517073219222,0.0361517073219222,0.323308851310411,0.00851567023127565,Very low
Austrochaperina macrorhyncha,LC,0.00501034881055492,0.5,0.667197174845994,0.410044579410006,0.188294347236572,0.500195357309601,0.145668999734186,0.0790108269830307,NA,0.746353935737481,0.363034141432651,NA,0.646810894941668,0.258680443705638,0.584138398111555,Anura,0.0553900474456582,NA,NA,NA,0.0727367157699914,0.0404307192198293,0.384926635348149,0,0.056185827478493,0.0280929137392465,0.403005273094748,0.00645572830365462,Very low
Beddomixalus bijui,EN,8.1523248508055e-06,0.375,0.594805194805194,0.389873397618107,0.667737608743399,0.53426360775149,0.281460818969222,0.344879639667404,0.373233245576531,0.338482173093166,0.263402057202271,0.328228331195908,0.427194121131172,0.298787429203983,0.103952136726105,Anura,0.102030232814741,NA,0.13539419950881,0.129100456467104,0.164083329711583,0.0904713531084925,0.394875500094867,0.75,0.124215914322146,0.437107957161073,0.274510582612027,0.125221811823727,High
Blythophryne beryet,VU,0.000444272516236587,0.25,0.334430546412113,0.334931307574711,0.624788917470559,0.595764117935675,0.0775317718624497,0.151248289171083,NA,0.348192885996322,0.279204218846269,NA,0.502494310976611,0.024669509005458,0.0254795529891495,Anura,0.0431056677369525,NA,0.0567507512388417,0.0480215974056322,0.053468289391687,0.0204185290532304,0.36426947747921,0.5,0.0443529669652688,0.272176483482634,0.127004776184591,0.0865536225343465,High
Bombina maxima,LC,0.0193397076606611,0.375,0.941966335118593,0.698734179484048,0.538823726356266,0.478788961717409,0.382449036270062,0.357624362778124,0.569740876154529,0.481561230614285,0.433787605990368,0.53563889582867,0.53700129803009,0.497077522482708,0.522777625877133,Anura,0.0946706388613042,0.303460514640639,NA,0.111634589616245,0.134585985626277,0.0591223080048761,0.501415017322385,0,0.140694807349868,0.0703474036749342,0.471232238227819,0.0186513546146385,Low
Bombina orientalis,LC,0.0764723562583279,1,0.737617088084033,0.581742734585931,0.541131894066492,0.60173676381245,0.595636878399942,0.533223516582652,0.545351223715842,0.386734152786479,0.447803699159769,0.504303423283633,0.465155286441075,0.0893169836581428,0.29415163742883,Anura,0.0825333774688293,0.254066844128956,NA,0.0934594489846416,0.108894750455205,0.0483543275091426,0.520281957283427,0,0.117461749709355,0.0587308748546774,0.439511613085867,0.0171266275831943,Low
Buergeria buergeri,LC,0.0231774076351575,0.75,0.652026471236431,0.430473602198828,0.702458392805251,0.619407560503635,0.515351903873408,0.586343882062028,0.783876832257433,0.313583726447745,0.60041567225582,0.680339627004647,0.514545434217367,0.102794486270189,0.350324871616784,Anura,0.111552466070837,0.468204673173617,NA,0.117397439084803,0.159801457183071,0.0895977245022349,0.574679663362616,0,0.189310752002913,0.0946553760014563,0.375664647351712,0.0339616702572816,Medium
Buergeria otai,LC,0.000480478403880538,0.375,0.45648825567963,0.529113922358427,0.558990811310937,0.528718336413414,0.175832915142874,0.193229653981443,0.419376132617878,0.398291368812744,0.303957005717179,0.411052905483971,0.49750670644724,0.188322407631909,0.33551522170434,Anura,0.0487697230497628,0.249334516415262,NA,0.0726245316752422,0.0760670610699453,0.0505891913856156,0.401606975828611,0,0.0994770047191655,0.0497385023595828,0.271161272683952,0.0145587937413411,Very low
Buergeria robusta,LC,0.0021031557303127,0.625,0.416871783396733,0.594381525451253,0.580406840101982,0.495022836776161,0.166376681432691,0.19361949452055,0.38379727807964,0.455201780787362,0.333325009425803,0.386835977490067,0.535109355678867,0.236379772619832,0.416005675390327,Anura,0.119276177866049,0.5075421472937,NA,0.130253026360815,0.175501656454282,0.113165379926859,0.412407677974438,0,0.209147677580341,0.10457383879017,0.339272077427441,0.0284952488174542,Low
Bufo aspinius,EN,0.000107673131856877,0.25,0.968641114982579,0.627069118150367,0.535504656845571,0.454429999150542,0.320635430725905,0.344709586096631,0.576187164109353,0.510932164473053,0.383134583716391,0.442351866639195,0.546703026639355,0.528757792671411,0.127823600083802,Anura,0.176762661370407,0.682342502218279,NA,0.234427612907812,0.258284525338849,0.132060138155221,0.474165759654636,0.75,0.296775487998114,0.523387743999057,0.37506603617393,0.155091453651531,Very high
Bufo bufo,LC,0.763904363653682,1,0.767337698309846,0.626156104450512,0.65390553171448,0.587741215689779,0.88480785087383,0.857872550772086,0.660478359452086,0.321662780629827,0.476358978371215,0.580503440281366,0.42904907625518,0.068865439329573,0.477490202640029,Anura,0.160653205340395,NA,NA,0.161283754268431,0.244963144139034,0.0997561966680211,0.607853588849036,0,0.16666407510397,0.0833320375519851,0.615519540786626,0.0194753494136881,Low
Bufo eichwaldi,VU,0.00151498379783565,0.625,0.697436550377727,0.495532778349687,0.709966090608383,0.652733851714363,0.473285928293186,0.553900077389139,0.792149398488083,0.400884895969915,0.7164648883143,0.713495702858861,0.62768798963872,0.161960614966754,0.418687979043399,Anura,0.152819154805252,NA,NA,0.216252472276209,0.244011616910475,0.10361641609102,0.613610160162464,0.5,0.179174915020739,0.33958745751037,0.380920025637143,0.129000365087924,High
Bufo gargarizans,LC,0.425611176766389,1,0.847104745078726,0.649210257628474,0.577378971180659,0.62659226962431,0.540897052923703,0.508418868184326,0.633107159821897,0.39419984450319,0.46591487168555,0.565273727563065,0.487840849311242,0.190009537460771,0.792707718518988,Anura,0.180734856007944,0.643300798580302,NA,0.214922583937311,0.28492728773848,0.124339699309224,0.544883387242642,0,0.289645045114652,0.144822522557326,0.651086635564975,0.0275332374048163,Low
Bufo japonicus,LC,0.0239964798856249,0.75,0.651905801720669,0.428554976147947,0.701578835254605,0.615517703778284,0.513314356129811,0.584482581065458,0.776366180263185,0.315837599987234,0.597299875462349,0.676017016819688,0.515207791381073,0.101046221980616,0.350324871616784,Anura,0.219684431203796,0.734989648033126,NA,0.270334598058054,0.337261285309183,0.139780577001219,0.572417691628963,0,0.340410107921076,0.170205053960538,0.375454675040739,0.0608484418027904,Medium
Bufo pageoti,LC,0.0013287803370073,0.25,0.875751730398276,0.661638537354432,0.522120228457827,0.573932836473929,0.303812345226722,0.29685222203384,0.65097348119292,0.498223542297481,0.441434744884347,0.557344528498109,0.551528493001214,0.314777403568995,0.407427369036595,Anura,0.146750524109015,0.54421768707483,NA,0.138675652507168,0.157422639111675,0.107273466070703,0.505786095942082,0,0.218867993774678,0.109433996887339,0.369857056668175,0.0348785341920152,Medium
Bufo torrenticola,LC,0.00175573341968534,0.75,0.688474685585296,0.502937883660011,0.721665842584096,0.60508045443335,0.490451063850534,0.559789569040484,0.755036771046713,0.303601066972367,0.588970349077478,0.66129168141719,0.513445171600292,0.135876841775382,0.256822635226781,Anura,0.19916142557652,0.705116829340432,NA,0.257479010782041,0.318706504352297,0.127996749288907,0.570226985368252,0,0.32169210386804,0.16084605193402,0.366585979201429,0.0580959481125931,Medium
Bufotes latastii,LC,0.00712282726887426,0.375,0.66635570820789,0.768936506439513,0.790874118231904,0.353081976803322,0.490306679465279,0.620657210233898,0.657397809283562,0.374298721932466,0.600909037519692,0.610778114084464,0.56384711050852,0.760144618784468,0.688249718026613,Anura,0.109676707,NA,NA,0.0956759295494714,0.166462147782978,0.059934985778139,0.583108728450262,0,0.107937442650647,0.0539687213253237,0.499374574457569,0.0157544981460045,Very low
Bufotes luristanicus,LC,0.00747928768127267,0.375,0.707969829153036,0.615648311535982,0.883501041898104,1,0.329985014993628,0.472307085909829,0.683135050710013,0.365721098125327,0.611256659345538,0.623866433034207,0.654261465695208,0.244180963770984,0.435244710730682,Anura,0.101732318216926,NA,NA,0.100463527569504,NA,0.0644453474197481,0.623968216124784,0,0.0888803977353925,0.0444401988676963,0.353974958267195,0.0179138038501734,Low
Bufotes oblongus,LC,0.030584240109697,0.625,0.749386696704983,0.638151214718038,0.766483587906567,0.923458017754109,0.466084820860151,0.558272730926267,0.744557207863253,0.421414443899236,0.747162794775325,0.753910716146097,0.650430036466904,0.244427453979638,0.386611989185298,Anura,0.120269226525433,NA,NA,0.154191016460976,0.18739574681126,0.0696871190572938,0.666992557131595,0,0.132885777213741,0.0664428886068704,0.407202075995923,0.0262709735356739,Low
